Region En,Region Ar,Change Rate,lon,lat
`Asir,عسير,-60.13%,   42.651780694998536,          19.567471484522912
Al Bahah,الباحة,-40.72%,     40.49072318206635,          19.64039161435103
Al Hudud ash Shamaliyah,الحدود الشمالية,88.61%,41.859810405884815, 29.528884326510187
Al Jawf,الجوف,585.90%,  37.88693247521047,          29.733895184873165
Al Madinah,المدينة المنورة,-73.09%,  38.53578795919458,          24.441165686036612
Al Quassim,القصيم,3.94%,   42.444559152660446,          25.852159566610155
Ar Riyad,الرياض,-5.62%,   44.42612175025016,          22.860316249601922
Ash Sharqiyah,الشرقية,321.21%, 51.13182715744779,21.687788649239124
Ha'il,حائل,-84.50%,   40.80930152874018,           27.65507222709249
Jizan,جازان,-88.13%,42.0970512686724, 16.884544277213767
Makkah,مكه المكرمه,5.11%,    40.09000967373643,           22.107710845030752
Najran,نجران,88.27%,  45.48600643938542,          18.26932947586836
Tabuk,تبوك,189.67%,   35.80273199380579,          27.993256706890676
